Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
74,Os01g0958000,Os01t0958000-01 ; Os01t0958000-02,"C-type cyclin-dependent protein kinase 1, Response to salt stress, ABA-signaling pathway (Os01t0958000-01) Similar to Cyclin-dependent kinase C-2. (Os01t0958000-02)",chr01:42229585..42232625 (+ strand),CDKC;2,CYCLIN-DEPENDENT KINASE C;2,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
75,Os01g0959200,Os01t0959200-01,"Abscisic acid-stress-ripening (ASR) protein, Positive regulation of salt and drought tolerance (Os01t0959200-01)",chr01:42282832..42283619 (+ strand),ASR4,ABSCISIC ACID-STRESS-RIPENING-INDUCIBLE 4 PROTEIN,
76,Os01g0968800,Os01t0968800-01,"DREB transcription factor, Drought tolerance, Salt and low temperature tolerance (Os01t0968800-01)",chr01:42727426..42728261 (+ strand),DREB1F,DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1F,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
77,Os01g0970600,Os01t0970600-01,"DEAD-box RNA helicase (EC:3.6.4.13), Salt or drought stress tolerance, RNA chaperon activity (Os01t0970600-01)",chr01:42821254..42825043 (- strand),RH58,RNA HELICASE 58,Molecular Function: ATP binding (GO:0005524) nucleic acid binding (GO:0003676)
78,Os01g0971100,Os01t0971100-01,"Drought-induced protein family 19-5, Negative regulation of salt stress tolerance (Os01t0971100-01)",chr01:42845781..42848071 (+ strand),DI19-5,DROUGHT-INDUCED 19-5,
79,Os02g0100300,Os02t0100300-01,"Heat shock protein (HSP40), Putative tetratricopeptide repeat(TPR)-containing protein, Growth and development, salt tolerance, abiotic stress tolerance (Os02t0100300-01)",chr02:14095..18477 (+ strand),HSP40,HEAT SHOCK PROTEIN 40,Molecular Function: protein binding (GO:0005515) protein dimerization activity (GO:0046983)
80,Os02g0120800,Os02t0120800-01 ; Os02t0120800-02,"GTPase, Rop family member, Salt tolerance, Negative regulation of disease resistance, Pollen germination (Os02t0120800-01) Similar to Small GTP-binding protein (Fragment). (Os02t0120800-02)",chr02:1080513..1084282 (- strand),RAC6,RAC/ROP-TYPE GTPASE 6,Biological Process: small GTPase-mediated signal transduction (GO:0007264)Molecular Function: GTP binding (GO:0005525) GTPase activity (GO:0003924)
81,Os02g0125200,Os02t0125200-01,"AT-hook motif nuclear-localized (AHL) gene family protein 1, Response to drought and salt stress (Os02t0125200-01)",chr02:1313733..1319009 (+ strand),,,Molecular Function: DNA binding (GO:0003677) minor groove of adenine-thymine-rich DNA binding (GO:0003680)
82,Os02g0126400,Os02t0126400-01 ; Os02t0126400-02,"Calcium-dependent protein kinase, Positive regulator of the salt and drought stress responses (Os02t0126400-01) Similar to Calcium-dependent protein kinase. (Os02t0126400-02)",chr02:1387873..1394276 (+ strand),CDPK4,CALCIUM-DEPENDENT PROTEIN KINASE 4,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) calcium ion binding (GO:0005509) protein kinase activity (GO:0004672)
83,Os02g0148100,Os02t0148100-01,"TEY-type mitogen-activated protein kinase (MAPK), Regulation of seed dormancy, Defense signal transduction, Osmotic homeostasis, Negative role in salt tolerance (Os02t0148100-01)",chr02:2643056..2646360 (- strand),MAP3,,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) MAP kinase activity (GO:0004707) protein kinase activity (GO:0004672)
84,Os02g0162200,Os02t0162200-00,Similar to Early salt stress and cold acclimation-induced protein 2-3. (Os02t0162200-00),chr02:3353590..3358320 (+ strand),ENODL6,EARLY NODULIN LIKE PROTEIN 6,Molecular Function: electron transfer activity (GO:0009055)
85,Os02g0202700,Os02t0202700-01,"Serine acetyltransferase 1, Salt stress response (Os02t0202700-01)",chr02:5748604..5749500 (- strand),SAT1;2,SERINE ACETYLTRANSFERASE 1;2,Biological Process: cysteine biosynthetic process from serine (GO:0006535)Molecular Function: serine O-acetyltransferase activity (GO:0009001) transferase activity (GO:0016740)Cellular Component: cytoplasm (GO:0005737)
86,Os02g0215900,Os02t0215900-01,"Gamma-ray induced leucine-rich repeat receptor-like kinase 1, Response to abiotic stresses (salt, osmotic and heat treatments) (Os02t0215900-01)",chr02:6485561..6490577 (+ strand),,,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein binding (GO:0005515) protein kinase activity (GO:0004672)
87,Os02g0266800,Os02t0266800-01,"bZIP transcriptional activator, Tolerance to salt and drought stresses (Os02t0266800-01)",chr02:9535430..9538420 (- strand),RITA1,RICE TRANSCRIPTION ACTIVATOR 1,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700)
88,Os02g0274900,Os02t0274900-01 ; Os02t0274900-02 ; Os02t0274900-03,"Major facilitator superfamily protein. (Os02t0274900-01) Monosaccharide transporter, Salt-stress tolerance (Os02t0274900-02) Similar to metabolite transport protein csbC. (Os02t0274900-03)",chr02:10074588..10081478 (+ strand),GMST1,GOLGI LOCALIZED MONOSACCHARIDE TRANSPORTER 1,Biological Process: transmembrane transport (GO:0055085)Molecular Function: transmembrane transporter activity (GO:0022857)Cellular Component: membrane (GO:0016020)
89,Os02g0276500,Os02t0276500-01,"Tocopherol cyclase, Salt stress tolerance (Os02t0276500-01)",chr02:10155843..10164739 (- strand),VTE1,VITAMIN E DEFICIENT 1,Molecular Function: tocopherol cyclase activity (GO:0009976)
90,Os02g0281000,Os02t0281000-01 ; Os02t0281000-02,"cGMP-dependent protein kinase, Mediation of gibberellin signaling, Salt stress response (Os02t0281000-01) Similar to predicted protein. (Os02t0281000-02)",chr02:10419062..10428014 (+ strand),PP23,PROTEIN PHOSPHATASE 23,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) cation binding (GO:0043169) protein kinase activity (GO:0004672)
91,Os02g0291400,Os02t0291400-01,"Calcineurin B-like protein, Salt tolerance (Os02t0291400-01)",chr02:11057896..11059975 (- strand),CBL8,CALCINEURIN B-LIKE PROTEIN 8,Biological Process: calcium-mediated signaling (GO:0019722)Molecular Function: calcium ion binding (GO:0005509) kinase binding (GO:0019900)
92,Os02g0465900,Os02t0465900-01,"Vacuolar antiporter-regulating protein, Compartmentation of Na+ into vacuole, Salt tolerance (Os02t0465900-01)",chr02:15676320..15679460 (- strand),,,Biological Process: glutathione catabolic process (GO:0006751)Molecular Function: glutathione specific gamma-glutamylcyclotransferase activity (GO:0061928)
93,Os02g0513100,Os02t0513100-01,"Clade III SWEET transporter, Sucrose transporter, Regulation of sucrose transport in response to drought and salt stress, TAL effector-mediated susceptibility to bacterial pathogen (Os02t0513100-01)",chr02:18454408..18457136 (- strand),SWEET15,SWEET15,Molecular Function: sugar transmembrane transporter activity (GO:0051119)Cellular Component: membrane (GO:0016020)
94,Os02g0526400,Os02t0526400-01,"Caseinolytic protease regulatory ATPase module, Intrinsic chaperone, Tolerance to salt and desiccation stresses (Os02t0526400-01)",chr02:19251968..19256233 (+ strand),ERD1,EARLY RESPONSIVE TO DEHYDRATION 1,Molecular Function: ATP binding (GO:0005524) ATP hydrolysis activity (GO:0016887)
95,Os02g0527100,Os02t0527100-01,"Chromatin remodeling factor 710, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response (Os02t0527100-01)",chr02:19293895..19303246 (+ strand),DLN56,DLN REPRESSOR 56,"Molecular Function: ATP binding (GO:0005524) hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818) nucleic acid binding (GO:0003676) zinc ion binding (GO:0008270)"
96,Os02g0542400,Os02t0542400-01,"Trihelix DNA binding domain containing protein, Regulation of stress tolerance, Salt tolerance (Os02t0542400-01)",chr02:20147866..20150003 (+ strand),MSL13,MYB/SANT-LIKE 13,
97,Os02g0564100,Os02t0564100-01,"Alfin-like (AL) transcription factor 2, Response to cold, salt and drought stress (Os02t0564100-01)",chr02:21413884..21417195 (+ strand),PHD9,PHD FINGER PROTEIN 9,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: histone binding (GO:0042393)
98,Os02g0574000,Os02t0574000-01 ; Os02t0574000-02,"Similar to Monosaccharide transporter 1. (Os02t0574000-01) Monosaccharide transporter (STP subfamily), STP protein 11, Salt, osmotic and drought stress response, Response to ABA, IAA, 6-BA, SA, and GA treatments (Os02t0574000-02)",chr02:22007361..22012100 (+ strand),STP11,SUGAR TRANSPORT PROTEIN 11,Biological Process: monosaccharide transmembrane transport (GO:0015749) transmembrane transport (GO:0055085)Molecular Function: carbohydrate transmembrane transporter activity (GO:0015144) monosaccharide transmembrane transporter activity (GO:0015145) transmembrane transporter activity (GO:0022857)Cellular Component: membrane (GO:0016020)
99,Os02g0579600,Os02t0579600-01,"MADS-box transcription factor, Regulation of root development, Modulation of salt tolerance (Os02t0579600-01)",chr02:22294657..22301807 (+ strand),MADS27,MADS BOX GENE 27,Biological Process: positive regulation of transcription by RNA polymerase II (GO:0045944) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700) protein dimerization activity (GO:0046983) RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)Cellular Component: nucleus (GO:0005634)
100,Os02g0592300,Os02t0592300-01 ; Os02t0592300-02,"Similar to predicted protein. (Os02t0592300-01) Mismatch repair protein, Negative regulation of salt tolerance (Os02t0592300-02)",chr02:22917835..22924462 (- strand),,,Biological Process: mismatch repair (GO:0006298)Molecular Function: ATP binding (GO:0005524) ATP hydrolysis activity (GO:0016887) ATP-dependent DNA damage sensor activity (GO:0140664) mismatched DNA binding (GO:0030983)Cellular Component: mismatch repair complex (GO:0032300)
101,Os02g0594700,Os02t0594700-01 ; Os02t0594700-02,"Similar to Non-phototropic hypocotyl 3. (Os02t0594700-01) Non-phototropic hypocotyl3 (NPH3) domain containing BTB protein, Salt stress response (Os02t0594700-02)",chr02:23044527..23047439 (+ strand),BTBN3,BTB-TYPE E3 UBIQUITIN LIGASE N3,
102,Os02g0601300,Os02t0601300-01,"Glyceraldehyde 3-phosphate dehydrogenase, Negative regulation of salt tolerance (Os02t0601300-01)",chr02:23527139..23530459 (+ strand),GAPC1,"GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE, CYTOSOLIC 1","Biological Process: glucose metabolic process (GO:0006006)Molecular Function: NAD binding (GO:0051287) NADP binding (GO:0050661) oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)"
103,Os02g0610600,Os02t0610600-01,"RSZ subfamily protein, Serine/arginine (SR)-rich protein, Response to salt, cold and heat stress (Os02t0610600-01)",chr02:23992509..23996356 (- strand),RSZP23,,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723) zinc ion binding (GO:0008270)
104,Os02g0640500,Os02t0640500-01,"Lectin receptor-like kinase, Mediation of salt sensitivity, Regulation of ethylene homeostasis (Os02t0640500-01)",chr02:25723956..25726080 (- strand),SIT1,SALT INTOLERANCE1,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) carbohydrate binding (GO:0030246) protein kinase activity (GO:0004672)
105,Os02g0650800,Os02t0650800-01,"Chromatin remodeling factor 740, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response (Os02t0650800-01)",chr02:26232001..26239229 (+ strand),CTD2,ATP-DEPENDENT HELICASE CTD2,Biological Process: gene silencing by siRNA-directed DNA methylation (GO:0080188)Molecular Function: ATP binding (GO:0005524)
106,Os02g0651300,Os02t0651300-01 ; Os02t0651300-02,"Ortholog of the cauliflower Orange gene, Carotenoid accumulation, Regulation of tiller number, Negative role in salt and cold tolerance (Os02t0651300-01) Similar to OR. (Os02t0651300-02)",chr02:26248643..26251980 (- strand),OR,ORANGE,
107,Os02g0655200,Os02t0655200-01 ; Os02t0655200-02,"Similar to Ap25. (Os02t0655200-01) ERF family protein, Transcriptional regulator, Salt stress tolerance (Os02t0655200-02)",chr02:26456450..26457994 (+ strand),ERF95,ETHYLENE RESPONSE FACTOR 95,Biological Process: ethylene-activated signaling pathway (GO:0009873) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
108,Os02g0662000,Os02t0662000-01,"Root-specific RCc3 protein, Root system architecture, Salt tolerance (Os02t0662000-01)",chr02:26804988..26805820 (+ strand),,,
109,Os02g0666200,Os02t0666200-01 ; Os02t0666200-02,"Aquaporin, Water channel, Salt tolerance, Seed germination, Response to osmotic and chilling stress (Os02t0666200-01) Aquaporin. (Os02t0666200-02)",chr02:27044341..27047381 (+ strand),PIP1A,PLASMA MEMBRANE INTRINSIC PROTEIN 1A,Biological Process: transmembrane transport (GO:0055085)Molecular Function: channel activity (GO:0015267)Cellular Component: membrane (GO:0016020)
110,Os02g0669100,Os02t0669100-01,"SK3-type dehydrin, Response to abiotic stress, Drought and salt stress tolerance (Os02t0669100-01)",chr02:27165514..27166898 (- strand),DHN1,DEHYDRIN 1,Biological Process: response to water (GO:0009415)
111,Os02g0672200,Os02t0672200-01 ; Os02t0672200-02,"Argonaute 1a protein, Target gene of osa-miR168a-5p, Salt tolerance (Os02t0672200-01) Similar to Protein argonaute 1A. (Os02t0672200-02)",chr02:27330175..27341732 (- strand),AGO1A,ARGONAUTE 1A,Molecular Function: nucleic acid binding (GO:0003676) protein binding (GO:0005515) RNA binding (GO:0003723)
112,Os02g0677300,Os02t0677300-02,"Typical CBF/DREB1 transcription factor, Dehydration-responsive element binding protein 1G, Cold stress tolerance, Positive regulation of heat, salt and drought tolerance (Os02t0677300-02)",chr02:27652935..27654206 (+ strand),DREB1G,DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1G,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
113,Os02g0684150,Os02t0684150-01,"DNA replication helicase 2_15, Drought and salt stress response (Os02t0684150-01)",chr02:27977587..27979810 (- strand),DNA2_15,DNA REPLICATION HELICASE/NUCLEASE 2_15,Molecular Function: helicase activity (GO:0004386)
114,Os02g0689800,Os02t0689800-01,"Chromatin remodeling factor 709, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os02t0689800-01)",chr02:28293986..28308093 (- strand),PIE1,PHOTOPERIOD-INDEPENDENT EARLY FLOWERING1,Molecular Function: ATP binding (GO:0005524)
115,Os02g0700700,Os02t0700700-01,"BREVIS RADIX-like protein, Drought, salt and cold stress response (Os02t0700700-01)",chr02:28826739..28833632 (- strand),BRXL2,BREVIS RADIX-LIKE 2,
116,Os02g0706400,Os02t0706400-01,"MYB-related transcription factor, Regulation of leaf senescence and salt-stress response (Os02t0706400-01)",chr02:29190864..29195545 (+ strand),RL3,RADIALIS-LIKE 3,Molecular Function: DNA-binding transcription factor activity (GO:0003700)
117,Os02g0709600,Os02t0709600-01 ; Os02t0709600-02,"Protein of unknown function DUF617, plant family protein. (Os02t0709600-01) Ortholog of Arabidopsis MIZU-KUSSEI1 (MIZ1), DUF617 domain containing protein, Drought and salt stress tolerance (Os02t0709600-02)",chr02:29364087..29365508 (+ strand),MIZ1,MIZU-KUSSEI1,Biological Process: hydrotropism (GO:0010274)
118,Os02g0713700,Os02t0713700-01,"AT-hook motif nuclear-localized (AHL) gene family protein 3, Response to drought and salt stress (Os02t0713700-01)",chr02:29571841..29573542 (- strand),AHL3,AT-HOOK MOTIF DNA-BINDING PROTEIN 3,Molecular Function: minor groove of adenine-thymine-rich DNA binding (GO:0003680)
119,Os02g0721600,Os02t0721600-01 ; Os02t0721600-02 ; Os02t0721600-03 ; Os02t0721600-04 ; Os02t0721600-05,"WD40 subfamily protein, Salt stress (Os02t0721600-01) Similar to WD-repeat protein-like. (Os02t0721600-02) Similar to WD-repeat protein-like. (Os02t0721600-03) Similar to WD-repeat protein-like. (Os02t0721600-04) Similar to WD-repeat protein-like. (Os02t0721600-05)",chr02:29934470..29941648 (- strand),SRWD2,SALT RESPONSIVE WD40 PROTEIN 2,Molecular Function: protein binding (GO:0005515)
120,Os02g0736400,Os02t0736400-01,"Cytosolic dihydroorotate dehydrogenase, Tolerance to salt and drought, Nitrosative stress response (Os02t0736400-01)",chr02:30745770..30749371 (- strand),DHODH1,DIHYDROOROTATE DEHYDROGENASE 1,"Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)Cellular Component: cytoplasm (GO:0005737)"
